,origin,origin_id,origin_name,origin_geom,destination,destination_id,destination_name,destination_geom
0,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463)
1,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),265,node_265,Omaranui,POINT (176.800567741908 -39.5394087226745)
2,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),266,node_266,Pan Pac,POINT (176.891708824699 -39.3780322650185)
3,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),267,node_267,Rosedale,POINT (174.721482752451 -36.737377420052)
4,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),268,node_268,Silverstream Landfill,POINT (174.99963280286 -41.1612476742833)
5,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),269,node_269,Southern Landfill,POINT (174.745870335913 -41.3236887792655)
6,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),270,node_270,Tirohia,POINT (175.648610160686 -37.4352184906982)
7,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),271,node_271,Redvale Landfill and Energy Park,POINT (174.627481741799 -36.659718093929)
8,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),273,node_273,Te Ahi O Maui,POINT (176.679456645066 -38.0649445879147)
9,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),274,node_274,Geothermal Development Limited,POINT (176.723414629757 -38.0814240722773)
10,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),275,node_275,Kawerau (BoPE),POINT (176.718541980571 -38.073261029353)
11,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),276,node_276,Kawerau (NST),POINT (176.699113853686 -38.0777852379887)
12,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),277,node_277,Kawerau,POINT (176.726706200966 -38.0615905147745)
13,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),278,node_278,Mokai,POINT (175.925104083334 -38.5299846722916)
14,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),279,node_279,Nga Awa Purua,POINT (176.185252148799 -38.6129915799067)
15,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),280,node_280,Ngatamariki,POINT (176.196099199543 -38.5469482327805)
16,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),281,node_281,Ngawha,POINT (173.862203238397 -35.4166495347956)
17,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),282,node_282,Ohaaki,POINT (176.310619590824 -38.5232938201908)
18,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),283,node_283,Poihipi,POINT (176.042594152512 -38.6300444977547)
19,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),284,node_284,Rotokawa,POINT (176.194205248799 -38.6122794958818)
20,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),285,node_285,Te Huka,POINT (176.114916202762 -38.6683398346939)
21,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),286,node_286,Te Mihi,POINT (176.038533499048 -38.6164623193674)
22,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),287,node_287,Wairakei?A,POINT (176.142193849297 -38.6157712035072)
23,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),288,node_288,Wairakei binary,POINT (176.14217010389 -38.6651386937376)
24,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),290,node_290,Aniwhenua,POINT (176.792361 -38.293694)
25,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),291,node_291,Arapuni,POINT (175.643333 -38.071389)
26,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),292,node_292,Aratiatia,POINT (176.1425 -38.615833)
27,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),295,node_295,Atiamuri,POINT (176.023333 -38.393056)
28,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),306,node_306,Flaxy,POINT (176.558853246944 -38.6340972906465)
29,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),309,node_309,Hinemaiaia A,POINT (176.090875 -38.890086)
30,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),311,node_311,Kaimai 5,POINT (176.045479812507 -37.8058254049969)
31,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),312,node_312,Kaitawa,POINT (177.1311 -38.80323)
32,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),314,node_314,Karapiro,POINT (175.539167 -37.923889)
33,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),315,node_315,Kourarau,POINT (175.702279721127 -41.0923626049482)
34,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),317,node_317,Kuratau,POINT (175.735583 -38.879472)
35,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),319,node_319,Lloyd Mandeno,POINT (176.051441012509 -37.8439504453787)
36,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),320,node_320,Lower Mangapapa,POINT (176.041275459044 -37.8206010531977)
37,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),322,node_322,Mangahao,POINT (175.450278 -40.576667)
38,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),323,node_323,Mangorei,POINT (174.118806 -39.105139)
39,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),324,node_324,Maraetai I,POINT (175.743889 -38.3525)
40,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),325,node_325,Matahina,POINT (176.814473 -38.114908)
41,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),327,node_327,McKays Creek,POINT (176.0460055255 -37.8057999746681)
42,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),330,node_330,Motukawa,POINT (174.382698866023 -39.1837958433011)
43,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),331,node_331,Ohakuri,POINT (176.089444 -38.408333)
44,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),335,node_335,Omanawa Falls,POINT (176.08925 -37.846278)
45,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),339,node_339,Patea,POINT (174.570278 -39.546111)
46,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),341,node_341,Piriaka,POINT (175.342894 -38.911584)
47,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),342,node_342,Piripaua,POINT (177.16817 -38.83906)
48,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),344,node_344,Rangipo,POINT (175.836802 -39.153316)
49,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),345,node_345,Rimu,POINT (176.813638243684 -39.3549839452333)
50,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),348,node_348,Ruahihi,POINT (176.055281984167 -37.7772049386562)
51,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),351,node_351,Tokaanu,POINT (175.768282 -38.98113)
52,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),352,node_352,Tuai,POINT (177.150844 -38.806819)
53,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),355,node_355,Waipapa,POINT (175.683568 -38.29216)
54,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),359,node_359,Wairere,POINT (175.008291 -38.531654)
55,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),360,node_360,Wairua,POINT (174.067619 -35.75753)
56,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),362,node_362,Whakamaru,POINT (175.808217 -38.419633)
57,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),363,node_363,Kuratau,POINT (175.728317525541 -38.8716026142216)
58,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),364,node_364,Mangapehi,POINT (175.10007827693 -38.4282868282415)
59,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),365,node_365,Mangatangi,POINT (175.2045577605 -37.2011944380658)
60,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),366,node_366,Mangatawhiri,POINT (175.106965270277 -37.2123552654778)
61,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),367,node_367,Marokopa,POINT (174.785948538264 -38.2666739256065)
62,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),369,node_369,Matawai,POINT (177.485580091272 -38.370677892358)
63,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),370,node_370,Mokauiti,POINT (175.156137769151 -38.585120247427)
64,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),372,node_372,Normanby,POINT (174.235677751188 -39.5233134417452)
65,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),374,node_374,Opunake,POINT (173.893535743083 -39.4375269157463)
66,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),375,node_375,Raetihi,POINT (175.291806436285 -39.4459270724005)
67,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),376,node_376,Rochfort,POINT (175.384666031583 -39.4108342688562)
68,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),379,node_379,Turitea,POINT (175.677783681152 -40.4326550598425)
69,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),380,node_380,Waihi Station,POINT (175.817022145655 -37.4024169380932)
70,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),381,node_381,Wheao,POINT (176.578077 -38.633332)
71,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),382,node_382,Glenbrook,POINT (174.865868406121 -37.1581385443255)
72,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),383,node_383,Huntly 1-4,POINT (175.153853248131 -37.5432661411445)
73,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),384,node_384,Junction Road,POINT (174.132362128905 -39.1413228127935)
74,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),385,node_385,Mangahewa,POINT (174.33536991845 -39.0698326282126)
75,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),386,node_386,McKee?(recip),POINT (174.33655995376 -39.09669671755)
76,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),387,node_387,Stratford CC,POINT (174.320148317022 -39.3247573803994)
77,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),388,node_388,Bream Bay,POINT (174.485262472728 -35.83881750347)
78,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),390,node_390,Whirinaki,POINT (176.887431286169 -39.3826958534311)
79,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),391,node_391,Auckland Hospital,POINT (174.77261703181 -36.8583143829234)
80,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),392,node_392,Edgecumbe,POINT (176.696614699914 -38.0541187956377)
81,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),393,node_393,Kapuni,POINT (174.172030462576 -39.4779738961053)
82,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),394,node_394,Kawerau (TPP),POINT (176.725603552211 -38.0547590771193)
83,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),395,node_395,Kinleith,POINT (175.905115806545 -38.2766910887955)
84,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),396,node_396,Te Rapa,POINT (175.219298125763 -37.7154232579138)
85,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),397,node_397,Wellington Hospital,POINT (174.779420228271 -41.3092171307989)
86,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),398,node_398,Whareroa,POINT (174.310592413409 -39.6006573562006)
87,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),399,node_399,Brooklyn Wind Turbine (new),POINT (174.761129773418 -41.295018114751)
88,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),402,node_402,Hau Nui,POINT (175.485121627336 -41.3608862666483)
89,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),406,node_406,Mill Creek,POINT (174.780525723695 -41.1705165642285)
90,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),409,node_409,Tararua,POINT (175.788066361406 -40.3396017013682)
91,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),410,node_410,Te Apiti,POINT (175.824146523747 -40.298008526326)
92,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),411,node_411,Te Rere Hau,POINT (175.735557322904 -40.3916860334335)
93,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),412,node_412,Te Uku,POINT (174.960114342948 -37.8268223308682)
94,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),413,node_413,Waipipi,POINT (174.554720528351 -39.7822103908749)
95,263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612),415,node_415,West Wind,POINT (174.703730540772 -41.2289628080423)
96,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),263,node_263,Greenmount Landfill,POINT (174.903893380755 -36.9363327689612)
97,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),265,node_265,Omaranui,POINT (176.800567741908 -39.5394087226745)
98,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),266,node_266,Pan Pac,POINT (176.891708824699 -39.3780322650185)
99,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),267,node_267,Rosedale,POINT (174.721482752451 -36.737377420052)
100,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),268,node_268,Silverstream Landfill,POINT (174.99963280286 -41.1612476742833)
101,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),269,node_269,Southern Landfill,POINT (174.745870335913 -41.3236887792655)
102,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),270,node_270,Tirohia,POINT (175.648610160686 -37.4352184906982)
103,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),271,node_271,Redvale Landfill and Energy Park,POINT (174.627481741799 -36.659718093929)
104,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),273,node_273,Te Ahi O Maui,POINT (176.679456645066 -38.0649445879147)
105,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),274,node_274,Geothermal Development Limited,POINT (176.723414629757 -38.0814240722773)
106,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),275,node_275,Kawerau (BoPE),POINT (176.718541980571 -38.073261029353)
107,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),276,node_276,Kawerau (NST),POINT (176.699113853686 -38.0777852379887)
108,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),277,node_277,Kawerau,POINT (176.726706200966 -38.0615905147745)
109,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),278,node_278,Mokai,POINT (175.925104083334 -38.5299846722916)
110,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),279,node_279,Nga Awa Purua,POINT (176.185252148799 -38.6129915799067)
111,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),280,node_280,Ngatamariki,POINT (176.196099199543 -38.5469482327805)
112,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),281,node_281,Ngawha,POINT (173.862203238397 -35.4166495347956)
113,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),282,node_282,Ohaaki,POINT (176.310619590824 -38.5232938201908)
114,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),283,node_283,Poihipi,POINT (176.042594152512 -38.6300444977547)
115,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),284,node_284,Rotokawa,POINT (176.194205248799 -38.6122794958818)
116,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),285,node_285,Te Huka,POINT (176.114916202762 -38.6683398346939)
117,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),286,node_286,Te Mihi,POINT (176.038533499048 -38.6164623193674)
118,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),287,node_287,Wairakei?A,POINT (176.142193849297 -38.6157712035072)
119,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),288,node_288,Wairakei binary,POINT (176.14217010389 -38.6651386937376)
120,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),290,node_290,Aniwhenua,POINT (176.792361 -38.293694)
121,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),291,node_291,Arapuni,POINT (175.643333 -38.071389)
122,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),292,node_292,Aratiatia,POINT (176.1425 -38.615833)
123,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),295,node_295,Atiamuri,POINT (176.023333 -38.393056)
124,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),306,node_306,Flaxy,POINT (176.558853246944 -38.6340972906465)
125,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),309,node_309,Hinemaiaia A,POINT (176.090875 -38.890086)
126,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),311,node_311,Kaimai 5,POINT (176.045479812507 -37.8058254049969)
127,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),312,node_312,Kaitawa,POINT (177.1311 -38.80323)
128,264,node_264,Kinleith,POINT (175.887613741859 -38.2768639986463),314,node_314,Karapiro,POINT (175.539167 -37.923889)
