wkt_geom,fid,id,Site,Latitude,Longitude,Name,Descriptio,Capacity (,location,island
Point (168.27247006687599651 -45.73867901982040252),417,node_416,White Hill,-45.73867902,168.2724701,wind,Wind,58,White Hill,south
Point (174.16718106663600452 -41.84794821181969837),415,node_414,Weld Cone,-41.84794821,174.1671811,wind,Wind,0.8,Weld Cone,south
Point (170.42617300000000569 -44.68983000000000061),362,node_361,Waitaki,-44.68983,170.426173,hydro,Hydro,90,Waitaki,south
Point (169.98700700967700072 -45.90587999430359645),357,node_356,Waipori?1A,-45.90587999,169.987007,hydro,Hydro,10,Waipori?1A,south
Point (170.02146103539999444 -45.92641908677489937),359,node_358,Waipori 3,-45.92641909,170.021461,hydro,Hydro,7.6,Waipori 3,south
Point (169.98289961629200207 -45.90662982895140232),358,node_357,Waipori 2A,-45.90662983,169.9828996,hydro,Hydro,58,Waipori 2A,south
Point (173.57582015869701308 -41.66509611534190327),355,node_354,Waihopai,-41.66509612,173.5758202,hydro,Hydro,2.5,Waihopai,south
Point (170.24065423130500108 -43.25189310416349997),354,node_353,Wahapo/Okarito Forks,-43.2518931,170.2406542,hydro,Hydro,3.1,Wahapo/Okarito Forks,south
Point (169.37266409895599395 -45.61680675497120063),379,node_378,Teviot,-45.61680675,169.3726641,hydro,Hydro,10.5,Teviot,south
Point (170.21194700000000921 -44.12252999999999759),351,node_350,Tekapo B,-44.12253,170.211947,hydro,Hydro,160,Tekapo B,south
Point (170.46051600000001258 -44.01380499999999785),350,node_349,Tekapo A,-44.013805,170.460516,hydro,Hydro,25,Tekapo A,south
Point (169.43669219072100418 -45.22069268332170111),378,node_377,Talla Burn,-45.22069268,169.4366922,hydro,Hydro,2.6,Talla Burn,south
Point (172.2798011938369882 -43.87197968052819874),409,node_408,Southbridge,-43.87197968,172.2798012,wind,Wind,0.1,Southbridge,south
Point (169.32255499999999415 -45.47581100000000021),348,node_347,Roxburgh,-45.475811,169.322555,hydro,Hydro,320,Roxburgh,south
Point (169.07183318396099025 -45.00101060244600149),347,node_346,Roaring Meg lower,-45.0010106,169.0718332,hydro,Hydro,3,Roaring Meg lower,south
Point (172.70351430533199277 -43.49133550084020072),390,node_389,QE2 Park,-43.4913355,172.7035143,diesel,Diesel recip engine,4,QE2 Park,south
Point (172.73881608886000549 -40.85519905565340082),344,node_343,Pupu,-40.85519906,172.7388161,hydro,Hydro,0.3,Pupu,south
Point (169.9494548647309955 -45.32584487881420188),341,node_340,Patearoa,-45.32584488,169.9494549,hydro,Hydro,2.3,Patearoa,south
Point (169.94502180910001243 -45.34858137654820354),339,node_338,Paerau,-45.34858138,169.9450218,hydro,Hydro,10,Paerau,south
Point (168.39672965603401167 -44.78778975439310273),338,node_337,Oxburn/Glenorchy,-44.78778975,168.3967297,hydro,Hydro,0.4,Oxburn/Glenorchy,south
Point (170.89094419407999226 -43.99101408299470251),337,node_336,Opuha,-43.99101408,170.8909442,hydro,Hydro,7.5,Opuha,south
Point (172.71185784597400925 -40.76509976766980259),374,node_373,Onekaka,-40.76509977,172.7118578,hydro,Hydro,1,Onekaka,south
Point (170.18222199999999589 -44.34194399999999803),335,node_334,Ohau C,-44.341944,170.182222,hydro,Hydro,212,Ohau C,south
Point (170.11222200000000271 -44.29944400000000115),334,node_333,Ohau B,-44.299444,170.112222,hydro,Hydro,212,Ohau B,south
Point (170.0322219999999902 -44.26444399999999746),333,node_332,Ohau A,-44.264444,170.032222,hydro,Hydro,264,Ohau A,south
Point (171.46346214631299176 -42.3949321468385989),372,node_371,Ngahere,-42.39493215,171.4634621,hydro,Hydro,0.1,Ngahere,south
Point (169.7788491132050126 -46.05584908286989787),408,node_407,Mt Stuart,-46.05584908,169.7788491,wind,Wind,7.7,Mt Stuart,south
Point (171.33987438762198963 -43.80026389943220266),330,node_329,Montalto,-43.8002639,171.3398744,hydro,Hydro,1.8,Montalto,south
Point (167.61658299999999144 -45.77569400000000144),329,node_328,Monowai,-45.775694,167.616583,hydro,Hydro,6.6,Monowai,south
Point (172.33444399999999064 -41.66194399999999831),327,node_326,Matiri,-41.661944,172.334444,hydro,Hydro,5,Matiri,south
Point (168.86457183012799987 -46.19755264524830096),369,node_368,Mataura,-46.19755265,168.8645718,hydro,Hydro,0.9,Mataura,south
Point (167.27777800000001207 -45.52138899999999921),322,node_321,Manapouri,-45.521389,167.277778,hydro,Hydro,850,Manapouri,south
Point (169.87673060189800367 -45.77246989504060082),406,node_405,Mahinerangi,-45.7724699,169.8767306,wind,Wind,36,Mahinerangi,south
Point (174.1336820100779903 -41.79036128892540347),405,node_404,Lulworth,-41.79036129,174.133682,wind,Wind,1,Lulworth,south
Point (171.19567845316899479 -42.63556220612129977),319,node_318,Kumara,-42.63556221,171.1956785,hydro,Hydro,6.5,Kumara,south
Point (169.31119872548001126 -45.53689541697050203),317,node_316,Kowhai,-45.53689542,169.3111987,hydro,Hydro,1.9,Kowhai,south
Point (172.89619322088501008 -43.07534072548359916),273,node_272,Kate Valley Landfill,-43.07534073,172.8961932,gas,Biogas,4.3,Kate Valley Landfill,south
Point (171.07011445502999436 -42.76606482260429942),314,node_313,Kaniere Forks,-42.76606482,171.0701145,hydro,Hydro,0.43,Kaniere Forks,south
Point (169.50044863056700706 -45.65121303585600288),404,node_403,Horseshoe Bend,-45.65121304,169.5004486,wind,Wind,2.3,Horseshoe Bend,south
Point (169.46567319183000677 -45.71868421868889953),311,node_310,Horseshoe Bend,-45.71868422,169.4656732,hydro,Hydro,4.3,Horseshoe Bend,south
Point (171.73556999999999562 -43.5733019999999982),309,node_308,Highbank,-43.573302,171.73557,hydro,Hydro,25.2,Highbank,south
Point (172.63384768503300393 -43.69825662783269848),402,node_401,Gebbies Pass,-43.69825663,172.6338477,wind,Wind,0.5,Gebbies Pass,south
Point (169.37409768331198734 -45.24735253846309746),308,node_307,Fraser,-45.24735254,169.3740977,hydro,Hydro,2.8,Fraser,south
Point (168.30387282144900496 -46.57505937902759996),401,node_400,Flat Hill,-46.57505938,168.3038728,wind,Wind,6.8,Flat Hill,south
Point (169.99499900222198789 -45.90446844188419817),306,node_305,Falls,-45.90446844,169.994999,hydro,Hydro,1.3,Falls,south
Point (171.20652793782599588 -42.72978180238799695),305,node_304,Duffers,-42.7297818,171.2065279,hydro,Hydro,0.5,Duffers,south
Point (171.19530331269899648 -42.65573757524899889),304,node_303,Dillmans,-42.65573758,171.1953033,hydro,Hydro,3.5,Dillmans,south
Point (170.0272225101170136 -45.92436628929129938),303,node_302,Deep Stream,-45.92436629,170.0272225,hydro,Hydro,5,Deep Stream,south
Point (171.52694399999998609 -43.36416700000000191),302,node_301,Coleridge,-43.364167,171.526944,hydro,Hydro,45,Coleridge,south
Point (172.68777800000000866 -41.10361100000000079),301,node_300,Cobb,-41.103611,172.687778,hydro,Hydro,34.3,Cobb,south
Point (169.30694399999998723 -45.17944399999999661),300,node_299,Clyde,-45.179444,169.306944,hydro,Hydro,432,Clyde,south
Point (171.58438899999998739 -43.45244399999999985),299,node_298,Cleardale,-43.452444,171.584389,hydro,Hydro,0.9,Cleardale,south
Point (170.19722200000001067 -44.56416699999999764),298,node_297,Benmore,-44.564167,170.197222,hydro,Hydro,540,Benmore,south
Point (170.35499999999998977 -44.65583300000000122),297,node_296,Aviemore,-44.655833,170.355,hydro,Hydro,220,Aviemore,south
Point (171.41126700000000938 -42.52904999999999802),295,node_294,Arnold,-42.52905,171.411267,hydro,Hydro,3,Arnold,south
Point (173.20331600000000094 -41.67076000000000136),294,node_293,Argyle,-41.67076,173.203316,hydro,Hydro,3.8,Argyle,south
Point (170.62446369698199078 -43.15560856760180286),290,node_289,Amethyst,-43.15560857,170.6244637,hydro,Hydro,7.6,Amethyst,south
Point (168.02319541160650829 -46.01728010512162115),538,node_537,,0,0,,,0,line,south
Point (172.19080010450011287 -43.71177771972215709),532,node_531,,0,0,,,0,line,south
Point (169.83945361904309834 -46.13404844524159643),531,node_530,,0,0,,,0,line,south
Point (169.89370917576013653 -45.81491632969594718),529,node_528,,0,0,,,0,line,south
Point (174.00499999999999545 -41.66100000000000136),528,node_527,,0,0,,,0,line,south
Point (169.43752900570586917 -45.68951193794534049),527,node_526,,0,0,,,0,line,south
Point (172.60599999999999454 -43.60999999999999943),525,node_524,,0,0,,,0,line,south
Point (169.37773542696362483 -45.61173542696361949),512,node_511,,0,0,,,0,line,south
